title,website,category,size,city,neighborhood,latitude,longitude,twit,inst,linkATitle,linkAURL,linkBTitle,linkBURL,pullquote,episodePromo,episodePerson,episodeURL,color,published,,naming,typography,ecommerce,engineering,3D,development,branding,photography,printer,print,sound,environmental,strategy,motion,advertising,vfx,research,experiential,recruiter,video,packaging,voice,marketing,school,press,gaming,community,inhouse,interactive,interior,exhibition,eCommerce,public relations,events,architecture,industrial,presentation,experience,product,illustration,ux/ui
LiveArea,https://www.liveareacx.com/,L,Large (41-100),Seattle,Downtown,,,LiveArea,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lore,http://lorenaming.com/,L,Small (1-10),Seattle,Ballard,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lost Woods Entertainment,https://www.lostwoodsentertainment.com/,L,Small (1-10),Seattle,Ballard,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucia|Marquand,http://luciamarquand.com/,L,Small (1-10),Seattle,Downtown,-122.3378652444919,47.608640378674,luciamarquand,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M Agency,https://whatisyourm.com/,M,Small (1-10),Tacoma,,-122.44023028683506,47.25242269239507,_M_Agency,_M_Agency,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MG2,https://mg2.com/,M,Large (41-100),Seattle,Downtown,-122.3366664598332,47.60607611949341,mg2_design,mg2_design,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIG,https://www.migcom.com/,M,Large (41-100),Seattle,Pioneer Square,-122.34001377332731,47.61011464030987,MIGCommunity,migcommunity,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mammoth,https://truebluestrategies.com/,T,Medium (11-40),Seattle,Capitol Hill,-122.33099330199573,47.59799948773961,TrueBlueDigital,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGraw Hill Education,https://www.mheducation.com/,M,Large (41-100),Seattle,Pioneer Square,-122.33304767315963,47.59953778281941,MHEducation,mheducation,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mekanism,https://mekanism.com/,M,Large (41-100),Seattle,Capitol Hill,-122.33916164232947,47.60593217547992,mekanism,mekanism,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mentor CG,http://www.mentorcg.com/,M,Small (1-10),Seattle,Fremont,-122.35008762914926,47.650360074585926,mentorcg,mentorcreator,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercer Island Group,https://www.mercerislandgroup.net/,M,Small (1-10),Seattle,Mercer Island,-122.234774544493,47.582414743742206,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Messenger,https://messengercorp.com/,M,Medium (11-40),Seattle,Georgetown,-122.33776783099978,47.55748874801413,M3Messengercorp,messengercorporation,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta,https://design.facebook.com/,M,Huge (100+),Seattle,Queen Anne,-122.34273821412414,47.62904813926928,DesignatMeta,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meta Quest,https://tech.facebook.com/reality-labs/,M,Large (41-100),Seattle,Queen Anne,,,Meta,meta,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Craft Photography,https://www.michaelcraftphotography.com/,M,Small (1-10),Seattle,Queen Anne,-122.36579027147923,47.63966629455133,,michaelcraftphotographyseattle,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,https://www.microsoft.com/design,M,Huge (100+),Redmond,,-122.13048959998227,47.64446865811225,MicrosoftDesign,microsoft.design,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mindhatch,https://www.mindhatchllc.com/,M,Small (1-10),Seattle,,,,mindhatchllc,mindhatch_llc,,,,,"\Every brief is different. Every client is different. Every challenge that they're working on is mostly different. And I think that just continually inspires me to think, oh, how can I apply what I know to best solve this problem? \",,,,cardEpisode8,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MoPOP,https://www.mopop.org/,M,Medium (11-40),Seattle,Queen Anne,-122.34813523099733,47.621634240645136,mopopseattle,mopopseattle,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moby,http://mobyinc.com/,M,Small (1-10),Seattle,Fremont,-122.3500270868199,47.65004206842862,builtbymoby,builtbymoby,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modern Species,https://modernspecies.com/,M,Small (1-10),Olympia,Pike Place Market,,,ModSpec,modspec,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monlux Illustration,https://monlux-illustration.square.site/,M,Small (1-10),Tacoma,,,,markmonlux,markmonlux,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mutuus,https://www.mutuus-studio.com/,M,Small (1-10),Seattle,SODO,-122.31695748093864,47.54969442365798,,mutuus_studio,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBBJ,http://www.nbbj.com/,N,Large (41-100),Seattle,South Lake Union,-122.33056081196261,47.620270876303,nbbjdesign,nbbjdesign,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neversink,https://madebyneversink.com/,N,Small (1-10),Seattle,,,,MadeByNeversink,madebyneversink,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nordstrom,https://shop.nordstrom.com/,N,Large (41-100),Seattle,Downtown,-122.33625588682136,47.61245226731475,nordstrom,nordstrom,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notebleu,https://notebleu.com/,N,Small (1-10),Seattle,Queen Anne,-122.35780073099725,47.6231012303053,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Okaybro,https://okaybro.com/,O,Small (1-10),Seattle,,-122.32098827332818,47.58548658212372,,okaybro,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olson Kundig,https://olsonkundig.com/,O,Large (41-100),Seattle,Pioneer Square,-122.3323793733276,47.599237936479824,olsonkundig,olsonkundig,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympus Press,https://olypress.com/,O,Medium (11-40),SeaTac,,-122.28867967148571,47.46918798807276,,olympuspress,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Creative Lush,https://onecreativelush.com/,O,Small (1-10),Edmonds,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ontra Marketing Group,https://ontramarketing.com/,O,Small (1-10),Woodinville,,-122.16480315798053,47.756174562295755,ontramarketing,ontramarketing,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oojon,http://www.oojon.com/,O,Small (1-10),Seattle,,,,the_oojon,the_oojon,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLU Design,https://www.plu.edu/artd/,P,Large (41-100),Tacoma,,-122.44523040218023,47.145659223800834,,plu_artdesign,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POP,https://www.wearepop.com/,P,Large (41-100),Seattle,Downtown,-122.33418852698841,47.60961266320619,,pop_agency,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parsons & Co,https://www.parsonsandco.com/,P,Small (1-10),Seattle,Ballard,-122.38114617332499,47.66909362745261,ParsonsandCo1,parsonsandco,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Partly Sunny,http://www.partly-sunny.com/,P,Small (1-10),Seattle,Ballard,,,patsnavely,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
People People,https://deicreative.com/,D,Small (1-10),Seattle,Capitol Hill,,,,deicreative,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phinney Bischoff,https://phinneybischoff.com/,P,Small (1-10),Seattle,Capitol Hill,-122.3227890441763,47.62496256915262,phinneybischoff,phinneybischoff,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photographic Center NW,http://pcnw.org/,P,Medium (11-40),Seattle,Capitol Hill,-122.31656284449197,47.61069957147263,photocenternw,photocenternw,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Photon Factory,https://www.photonfactory.org,P,Medium (11-40),Seattle,Pioneer Square,-122.32315181935228,47.55965528091016,,photonfactory,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pike Street Press,https://pikestreetpress.com/,P,Small (1-10),Seattle,Pike Place Market,-122.34181671380993,47.60836227927665,,pikestreetpress,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pilot Lab,http://www.pilotlab.com/,P,Medium (11-40),Seattle,Capitol Hill,-122.31962844232946,47.612600418739866,thepilotlab,pilot.lab,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pley.ground,http://pleyground.design/,P,Small (1-10),Seattle,Pioneer Square,-122.3443361433834,47.61177834192942,pley_ground,pley.ground,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Possible,https://www.possible.com/,P,Large (41-100),Seattle,Downtown,,,possible,possible,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pratt Fine Arts Center,https://www.pratt.org/,P,Medium (11-40),Seattle,Central District,-122.30732451565709,47.600385702356995,prattfinearts,prattfinearts,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Print NW,http://printnw.rocks/,P,Large (41-100),Tacoma,,-122.47858173101473,47.16688274517419,printnw,print_nw,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Creation Studio,https://www.productcreationstudio.com/,P,Medium (11-40),Seattle,South Lake Union,-122.47858173101473,47.16688274517419,PCS_News,productcreationstudio,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Publicis Groupe,https://publicisna.com/,P,Large (41-100),Seattle,Queen Anne,-122.35911017702047,47.62286516243082,PublicisSeattle,publicisseattle,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Push Design,http://pushdesign.net/,P,Small (1-10),Seattle,Pioneer Square,-122.33184903099807,47.60200865546547,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pyramid Communications,https://www.pyramidcommunications.com/,P,Medium (11-40),Seattle,Pike Place Market,-122.34210368682137,47.61127270368287,PyramidComms,pyramidcomms,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quesinberry & Associates,https://quesinberry.com/,Q,Small (1-10),Seattle,Capitol Hill,-122.3170142232947,47.614766043714816,,quesinberryandassociates,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REI,https://www.rei.com/,R,Large (41-100),Issaquah,,-122.06533871975176,47.552085001747585,rei,rei,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMB Vivid,http://rmbvivid.com/,R,Small (1-10),Seattle,Pike Place Market,-122.34220658465894,47.611201758810715,RMBVivid,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRD Packaging Solutions,https://www.rrd.com/,R,Large (41-100),Kent,,-122.250350717325,47.39277069356111,,emeraldcity_graphics,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rationale,https://rationale-design.com/,R,Small (1-10),Everett,,-122.21792637805744,48.00301500830179,RationaleDesign,seanwolcott,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Jet Films,https://www.redjetfilms.com/,R,Small (1-10),Seattle,Queen Anne,-122.35225575582369,47.62572021147871,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Retail Voodoo,https://www.retail-voodoo.com/,R,Small (1-10),Seattle,Laurelhurst,-122.31689821565473,47.6606139057321,RetailVoodoo,retailvoodoo,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Root Culture Lab,http://www.rootculturelab.com/,R,Small (1-10),Seattle,Madrona,-122.2891134134942,47.61402441151606,,rcldesignseattle,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotator Creative,https://rotatorcreative.com/,R,Small (1-10),Tacoma,,-122.43884174081174,47.257318186384694,,rotatorcreative,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royale,https://weareroyale.com/,R,Medium (11-40),Seattle,Pioneer Square,-122.3336336269884,47.60257688024059,weareroyale,weareroyale,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Run Studios,https://www.runstudios.com/,R,Large (41-100),Seattle,Ballard,-122.32945489815316,47.623656249276856,,runstudios,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rupert,https://thisisrupert.com/,R,Small (1-10),Seattle,Fremont,-122.36599326167804,47.65876281188104,thisisrupert,rupert.studio,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rusty George,https://rustygeorge.com/,R,Small (1-10),Tacoma,,-122.44124563101124,47.256708861270006,RustyGCreative,rustygeorgecreative,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGK,https://sgkinc.com/,S,Large (41-100),Redmond,,-122.09625723099555,47.66675719973992,SGKinc,schawkstudios,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPU Design,https://spu.edu/academics/college-of-arts-sciences/art/majors-programs/visual-communication,S,Large (41-100),Seattle,Queen Anne,-122.36184640049403,47.64919413186127,,spac_gallery,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sarah Piper Staffing,https://spiperstaffing.com/,S,Small (1-10),Seattle,Pioneer Square,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Schema,https://www.schemadesign.com/,S,Small (1-10),Seattle,Capitol Hill,-122.31654890216224,47.615822754467146,schemadesign,schemadesign,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeaMonster Studios,https://www.seamonsterstudios.com/,S,Small (1-10),Seattle,Downtown,,,the_seamonsters,seamonsterstudios,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Art Museum,http://www.seattleartmuseum.org/,S,Medium (11-40),Seattle,Pike Place Market,-122.33791698682144,47.60765548092441,iheartsam,seattleartmuseum,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seattle Central Creative Academy,http://seattlecentralcreativeacademy.com/,S,Large (41-100),Seattle,Capitol Hill,-122.32146458866814,47.61634992047527,,creative_academy,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaw/Scott,http://shawscott.com/,S,Medium (11-40),Seattle,Madison Park,-122.27902798866731,47.63499522047913,ShawScott,_shawscott,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ShiftUp,http://shiftupagency.com,S,Small (1-10),Seattle,Fremont,-122.35096655798448,47.65187807080461,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shore,https://madebyshore.com/,S,Small (1-10),Seattle,Pioneer Square,,,,madebyshore,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sid Lee (HADW),https://sidlee.com/,S,Large (41-100),Seattle,Downtown,-122.33605554232949,47.61106835809117,sidlee,sidlee_official,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siotes,http://siotes.com/,S,Small (1-10),Seattle,Pioneer Square,-122.3337696733276,47.59947143586633,,siotes,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site Crafting,https://www.sitecrafting.com/,S,Medium (11-40),Tacoma,,-122.43352191567101,47.23674909356582,sitecrafting,sitecrafting,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smashing Ideas,https://smashingideas.com/,S,Large (41-100),Seattle,Belltown,-122.34759658682141,47.6117200365621,smashingideas,smashing_ideas_agency,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smith co,http://smithco.org/,S,Small (1-10),Seattle,Downtown,-122.33977710212643,47.61194537767262,,architektuer_2017,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somelab,http://somelabdesign.com/,S,Small (1-10),Orcas Island,,,,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spindustry Systems,https://vsg360.com/,S,Medium (11-40),Tacoma,,-122.44334762698841,47.246640246268804,Spindustry,spindustry,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Square Tomato,http://www.sqtomato.com/,S,Small (1-10),Seattle,SODO,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starbucks,https://www.starbucks.com/,S,Large (41-100),Seattle,SODO,-122.33530838682252,47.58109774393941,starbucks,starbucks,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
States of Matter,https://www.statesofmatter.com/,S,Small (1-10),Seattle,Pioneer Square,-122.3585932134942,47.6185510981635,statesmatter,statesofmatter,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Straightface Studios,http://sfstudios.com/,S,Small (1-10),Seattle,Queen Anne,-122.37710421565511,47.65225166088441,StraightfaceHQ,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strange & Wonderful,http://www.strangeandwonderful.co/,S,Medium (11-40),Seattle,Pioneer Square,-122.33583983099801,47.6024975620698,,thestrangeandwonderful,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio Matthews,http://www.studiomatthews.com/,S,Small (1-10),Seattle,Capitol Hill,-122.3170356831276,47.6147370931418,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Studio SC,http://studio-sc.com/,S,Small (1-10),Seattle,Pioneer Square,-122.33190409875071,47.59913350087604,studiosc,studio_sc_seattle,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Substantial,https://substantial.com/,S,Medium (11-40),Seattle,Capitol Hill,-122.32040132883527,47.61555321147331,substantial,substantial,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suyama Peterson Deguchi,https://suyamapetersondeguchi.com/,S,Small (1-10),Seattle,South Park,-122.32304455614253,47.52648600614266,,suyamapetersondeguchi,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swecker,https://swecker.co/,S,Small (1-10),Seattle,Pioneer Square,-122.33172740216277,47.6021551656261,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T Marks Design,https://tmarksdesign.com/,T,Small (1-10),Seattle,South Lake Union,-122.34278214633845,47.618528553856315,tdaddy61,terry.marks,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tactile,https://tactileinc.com/,T,Medium (11-40),Seattle,Belltown,-122.34061634449182,47.61325453231767,tactile_design,tactiledesign,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teague,https://teague.com/,T,Large (41-100),Seattle,Pike Place Market,-122.33889075983312,47.608355745904525,teague1926,teague1926,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ted Leonhardt,https://tedleonhardt.com/,T,Small (1-10),Seattle,Ballard,,,tedleonhardt,tedcleonhardt,,,,,\You can begin to focus on the areas where there's growth opportunity and the creativity is for purposes other than just making corporations grow.\,,,,cardEpisode3,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ten Gun,https://www.tengundesign.com/,T,Large (41-100),Edmonds,,-122.38030108866063,47.810988779233064,,tengundesign,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tether,http://tether.com/,T,Medium (11-40),Seattle,Pioneer Square,-122.33262358866865,47.59958167013385,tether,tether,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Creative Group,https://www.roberthalf.com/,T,Large (41-100),Seattle,Downtown,-122.33152911076994,47.61390031285357,roberthalf,roberthalf,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This Place,https://thisplace.com/,T,Large (41-100),Seattle,Fremont,-122.37829109962091,47.67066986546319,thisplacestudio,thisplacestudios,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Touch Worldwide,https://www.touchworldwide.com/,T,Medium (11-40),Seattle,Pioneer Square,-122.33238661565696,47.60265573230689,,touch_worldwide,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transom,https://transom.design/,T,Small (1-10),Seattle,Pioneer Square,-122.33529218281211,47.60049929170814,,transom.design,,,,,\Design can fail. It’s debatable whether one can fail at art.\,,,,cardEpisode2,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trifilm,https://www.trifilm.com/,T,Medium (11-40),Kirkland,,-122.2053774021608,47.65551761537504,trifilm,trifilm,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turnstyle,http://turnstyle.studio/,T,Small (1-10),Seattle,Fremont,-122.35831342914936,47.65265435051626,turnstylestudio,turnstylestudio,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UW Press,https://uwapress.uw.edu/,U,Medium (11-40),Seattle,U District,-122.31458380216057,47.66087614838885,UWAPress,uwapress,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UW School of Art,https://art.washington.edu/design,U,Large (41-100),Seattle,U District,-122.3063840868196,47.658677206629164,,uwsoa,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UpTop,https://www.uptopcorp.com/,U,Small (1-10),Seattle,Pioneer Square,-122.33091645582367,47.59829447242515,UpTopCorp,uptopcorp,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urban Influence,https://www.urbaninfluence.com/,U,Medium (11-40),Seattle,Capitol Hill,-122.31906988057113,47.614637222874656,pigeonwisdom,pigeonwisdom,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VMLY&R,https://www.vml.com/,V,Large (41-100),Seattle,South Lake Union,-122.33791927332713,47.61278972822198,VMLYR,vmlyr,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valve,https://www.valvesoftware.com/,V,Large (41-100),Bellevue,,-122.20089790216242,47.61428755956317,valvesoftware,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vectorform,https://www.vectorform.com/,V,Large (41-100),Seattle,Belltown,-122.34225903099748,47.61551359077914,vectorform,vectorform,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vitamin T,https://vitamintalent.com/,V,Small (1-10),Seattle,Fremont,,,vitamintalent,vitamintalent,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watts,https://www.wearewatts.com/,W,Medium (11-40),Seattle,Pioneer Square,-122.33371038465893,47.60171952209262,,we.are.watts,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Western Washington University,https://www.wwu.edu/design/,W,Large (41-100),Bellingham,,-122.48503183897165,48.73569466621371,,wwu_design,,,,,\Being a design educator is a lifestyle and when you sign up for academia there's an expectation that you need to be there for the people around you and the students.\,,,,cardEpisode1,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wick & Mortar,https://www.wickandmortar.com/,W,Medium (11-40),Seattle,Pioneer Square,-122.32718337332552,47.65466791772688,wickandmortar,wickandmortar,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wide Angle Studios,https://www.wideanglestudios.com/,W,Small (1-10),Seattle,Downtown,-122.32986711565685,47.6057837540852,,,,,,,,,,,,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
